reviewContent,label,rating
"Barang OK, sesuai pesanan.",positive,5
"saya sangat kecewa sekali teryata yang dikirim barang palsu...,flashdisknya tidak bisa dipakai...",negative,1
"barang enggak berguna,di isi file tidak bisa di bk",negative,1
"windowsnya tidak bisa terbuka alias tudak berfungsi, layar langsung on tanpa tekan tombol power..  sudah lima hari produk dikembalikan, namun uang pengembaliannya belum dikirim..",negative,3
ini dapat bracket enggak ya???,negative,3
Mantap puas banget,negative,1
"barang bagus, bekerja dengan baik, pengiriman cepat, kurirnya ramah, mudah-mudahan tahan lama",positive,5
.,negative,2
kualitas cukup bagus dengan harga yang terjangkau,positive,5
tidak sesuai dengan di gambar di gambar warnanya hitam sudah di coba sama lagu enggak bisa di putar kecewa banget  jadi sampah segelnya pun bekas di buka,negative,1
"Dikatakan paket akan tiba pada 13 Desember 2017. Sampai saat ini (14 Desember 2017) masih belum saya terima. Jasa pengiriman oleh ARK BULKY. Mohon tindaklanjutnya. Saya kecewa, LAZADA!",negative,1
"Di deskripsi & diskusi ditulis USB movie, kenyataannya TV ini port USB nya hanya untuk service saja tidak bisa untuk play movie/music. benar-benar dibohongi nih, bisa retur / tukar enggak nih? Kalau bisa saya revisi jadi bintang 5",negative,1
tidak bisa di gunakan,negative,1
"mantap kurirnya sopan dan baik, semoga awet",positive,5
"barang rusak di jual,parah banget kau. yang bisa ke pakai cuma Earphone dan senter gepeng untuk di laptop.sisa yang ada disitu barang rusak",negative,1
"Barang bagus, sesuai dengan pesanan. Dan pengiriman sesuai estimasi waktu. Puas, cuma agak kecewa ternyata tipe ini belum mendukung fitur multimedia melalui USB. Tapi selebihnya Ok",positive,4
barang sudah diterima.. produck rusak.. LCD pecah.. besok barangnya saya kirem kembali ke penjualnya.. sudah saya klaim ke lazada.. tinggal besok barang di kirem.,negative,1
pelayan nya bagus.  barang juga bagus mantap banget.  cuma yang buat kecewa dari pihak pengiriman nya.  masa dari depok kirim ke depok harus tgu sampai smguan baru sampai.  barang kelamaan simpan nya di gudang ninja  nya,positive,4
"sip, semoga awet. packing rapi aman.",positive,5
tv nya enggak ada signal. dan giliran saya kembalikan DITOLAK. kenapa coba.saya sangat kecwa,negative,1
Ane puas banget gan.... Mantap Semula mengira ukuranya kecil... Malah pintu saya enggak cukup buat memasuki nih tv ke dalam rumah..terpaksa bongkar atap rumah deh agar bisa masuk..,positive,4
Barang masih ada?,negative,1
mantap barang berfungsi dengan baik dan pengiriman sesuai dengan istimasi waktu diaplikasi,positive,5
"Suka warna-nya, packaging dan kemampuannya. Ukuran kecil tapi kapasitas gede (2TB). Saya punya seagate 1TB tapi ribet pakenya, harus colok listrik dan ukuran nya gede. beli seagate ini karena katanya compatible with mac juga. bisa edit files di seagate dalam format windows tanpa harus convert ke format mac, thanks tapi fre software dari seagate. singkat kata: PUAS!",positive,4
"packaging rapi, barang digunakan gambarnya bagus dan tajam, suara enggak cempreng cempreng amat. semoga awet.",negative,3
"Pengiriman cepat, tapi barangnya enggak bisa menyimpan data.. kecewa.",negative,2
barangnya bagus.cuma pengirimannya yang sangat lambat,negative,3
sok safety i like itu,positive,5
terimakasihterimakasihterimakasihterimakasihterimakasihterimakasihterimakasihterimakasihterimakasihterimakasih,positive,4
kecewa sekali barang tidak sesuai dengan deskripsi dan tidak berfungsi dengan baik-_-,negative,1
Produk lumayan bagus tapi sayang untuk pas 3 layar kadang gelap input dari pas 3 tidak terdeteksi...,negative,1
Saya lecewa yang datang bukan 64 gb tapi cuma 8gb,negative,1
barang terjamin sesuai di gambar dan deskripsi,positive,5
sudah menunggu 2 mingguan ini kenapa pesanan saya belum sampai juga..?? Sangat kecewa dengan lazada,negative,1
cantik unyu ... pesanan datang tepat waktu ... kapasitas 16 gb namun realnya 14.4 gb ... not bad laaah untuk ukuran usb karakter ... unyuk ... terima kasih lazada and seller,negative,3
"produk orisinal,dari samsung,",positive,5
"bilangnya 32 GB ternyata 3,7 GB",negative,1
Kiriman cepat dari jadwal  barang sesuai dengan yang dijual...terima kasih semoga awet,positive,5
"-1. Pengiriman cepat sesuai jadwal. 2. Saya beli 2 buah, harga sesuai dengan.penawaran barang 64 GB tertulis di flashdisc 64 GB+box kemasan 64 GB, waktu dipakai isi hanya 2 GB, kecewa.....doong ach.",negative,1
"terima kasih lazada barang nya sudah sampai dengan selamat dan kurir nya juga baik ramah,tapi belum di coba soal nya belum ada resiper nya!wajah_tersenyum_dengan_mata_bahagia!  mudah-mudah an saja bagus,,sukses terus lazada...o,ya tapi enggak bisa unggah poto soal nya aku di jakarta dan tivi di kirim ke kampung meminta di kirim ke WA lagi pada eror enggak bisa tapi di jamin puas deh walau aku enggak lihat poto nya",positive,5
"alhhamdulillah tv telah mendarat dengan aman dan cepat datangnya. sudah dicoba dan semua berjalan normal, kwalitas oke standard samsung. Thanks lazada dan samsung.",positive,5
Barang sudah sampai. terima kasih semoga awet.,positive,5
terima kasih laz,negative,3
"bagus terima kasih lazada ,moga awet",positive,5
Flashdisk mantap.. !jempol_ke_atas!!jempol_ke_atas!,positive,5
"berfungsi dengan baik,tapi barangnya lama sekali sampai nya",negative,3
"sesuai, cuman enggak sampai 1 TB hanya 931 GB",negative,3
kadang terbaca.. kadang enggak..,negative,1
"Kesel banget pertama enggak ada osnya, kedua, sudah di instal bermasalah. Di instal ulang lagi tetap bermasalah, ujung""nya dibawa ke service center.",negative,1
ok bi,positive,5
Barang oke termurah dibandingkan yang lain. Cuma pengiriman lama sampai 3 minggu lebih....padahal barang mau dipakai cepat. Komplain lewat LiveChat sampai 3x jawabannya standar akan ditindaklanjuti. Komplain terakhir lewat CS FanPage FB jawaban sama tapi besoknya barang langsung dikirim.,negative,2
"di telp pihak pengirim katanya barang lecet2,ya saya tolak daripada tidak terpakai buat apa dibeli juga.masih untung cod coba kalau transfer bisa pusing cara memintanya",negative,1
"Barang bagus sampai dengan aman mulus, produk cocok buat anak kostan, tv gampang di bawa pindahan, seller komunikatif good seller Ikedo , harga terjangkau dapat voucher, packing 2 lapis karton + buble wrap, tebal didalam ada sterofoam, JNE untuk saat ini okelah, gan harus di tempel sticker pecah belah supaya lebih oke.",positive,4
Barang bagus sesuai deskripsi kebetulan dapat pas samsung brand day jadi cuma dapat harga 206rb,positive,5
paket lengkap murahnya TOP,positive,5
"Iya enggak jelas ini tv 24 "" atau 48""",negative,1
bagus enggak ada cacad fisik,positive,5
"saya suka banget dengan bahan nya, saya pesan juga responnya cepat banget, barangnya cepat sampai.",positive,5
biar bintang yang berbicara. recomen gaes,positive,5
terimakasih barang cepat sampainya bagus... banget .... tadi nya saya ragu tapi ketika barang telah sampai dan lihat dan cek ternyata semua baik,positive,5
enggak bisa di pakai ..,negative,1
MenGecewakan,negative,1
"Trm kasih Lazada, trm kasih seller.  bareng sudah sampai & berfungsi baik. Packing rapi.",positive,5
"bareng sudah saya terima dan sesuai dengan yang di iklan kan mantap!!, jadi mau belanja lagi, maju terus lazada oye.",negative,3
Bagus mantap barang datang cepat dan pakai buble hardisknya,positive,5
Windows nya sudah di instal ya gan?,negative,3
"Saya baru beli tanggal 14 mei 2018, baru 2 mingguan kok muncul suara mirip jangkrik pada saat browsing, scrolling, bahkan pas mengetik ulasan ini muncul suaranya. Terkadang suara nya tiba-tiba meninggi. Hal ini sangat mengganggu. Masa saya beli mahal2 dapat nya jangkrik.",negative,1
kecewa barang tidak bisa di gunakan sama sekali harga murah tapi murahan pengiriman lama,negative,1
"kecewa barang enggak bisa di pakai, returnya susah",negative,1
"Thanks lazada, seller.  Pesanan cepat sampai sesuai.  Semoga tetap maju terus",positive,5
barang original sesuai yang dipesan,positive,5
"kualitas barang okay, orisinal sesuai deskripsi, dilengkapi kartu garansi juga",positive,5
corup terus da copi data hilang-hilang terus.,negative,1
"katanya dana sudah di kembalikan, di cek tapi dana nya belum ada masuk sama sekali, tolong dong jangan buat kami kecewa,",negative,1
Apakah bisa tolong diinstalkan Windows nya kak?,positive,5
"Pengiriman cepat, barang ajib, hanya pulpen ternyata Keiko saja wkwk, Pouch juga sempit dikirain bakal lebih gede jadi enggak ribet masuk keluarkan HDDnya",positive,5
