text,text_preprocessed,label
Awalnya saya kira belum dibuka untuk diisi freemcboot...tyt sudah dibuka tinggal tes di mesin :) thx,buka isi freemcboottyt buka tinggal tes mesin thx,positive
"Harga sih promo 17.900, sy pake gojek instant lebih mahal ongkirnya drpd barangnya, krn mau dipake cepet. pas nyampe eh ternyata udah patah sebelah standnya.. kecewa sih karna kalo jual promo ada cacat ya di catet gitu biar customer ga beli barang promo kalo tau ada cacatnya.. seller si oke buat tuker barang, tp udh ga efektif aja sy mau pake cepet jg jd ga bisa, di retur jg ongkir lebih mahal lagi dari kualitas barangnya :( mengecewakan deh pokonya kapok beli disini",harga promo 17900 sy pake gojek instant mahal ongkirnya drpd barang krn dipake cepet pas nyampe eh udah patah belah standnya kecewa karna jual promo cacat catet gitu biar customer beli barang promo tau cacat seller si oke tuker barang tp udh efektif sy pake cepet jg jd retur jg ongkir mahal kualitas barang kecewa deh poko kapok beli,negative
"kualitas barang dibanding harga nya hanya so so lahh....pelayanan minus -100 sbgmn layaknya kesombongan seorang raja, apalagi pengiriman barang, seenak jidat macam tidak ada lagi produsen consumer goods lain di tata surya ini!!! no wonder nilai / valuasi perusahaan anda sudah turun lebih dari 50% dalam 1 tahun terakhir ini. semoga makin jeblok dan gulung tikar kmdn pulang kampung. SEMOGA!!!",kualitas barang banding harga so so lahhpelayanan minus 100 sbgmn layak sombong raja kirim barang enak jidat produsen consumer goods tata surya no wonder nilai valuasi usaha turun 50 moga jeblok gulung tikar kmdn pulang kampung moga,negative
Cepat rusak gampang sobek.. Kotor.. Tidak recommend..,cepat rusak gampang sobek kotor recommend,negative
"Suara noise seperti saat sedang mencari saluran radio dan agak meletup2 sangat mengganggu, padahal sedang berada pada mode bluetooth untuk mendengarkan musik. Bikin sakit telinga.",suara noise cari salur radio meletup2 ganggu mode bluetooth dengar musik bikin sakit telinga,negative
Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,barang kota casing mudah lepas jujur kecewa,negative
reoderrrrr,reoderrrrr,positive
fast response sponge nya juga bagus satu sisinya kasar Material Produk Bagus.,fast response sponge bagus sisi kasar material produk bagus,positive
Fitting tidak sesuai dgn celana pendek umumnya.,fitting sesuai celana pendek,negative
Kecewa pesanan sama barang yang dikirim tidak sesuai,kecewa pesan barang kirim sesuai,negative
"barang ini tidak dikirimkan, next mohon lbh diperhatikan",barang kirim next mohon lbh perhati,negative
keren banget barangnya. batrenya sumpah awet banget. volumenya juga gede dan ringan. cocok banget dibawa untuk lari atau work out. makasi min,keren banget barang batrenya sumpah awet banget volume gede ringan cocok banget bawa lari work out makas min,positive
Produk original ??,produk original,positive
"Barang basah berair dan bau Kwalitas tidak bagus, tidak spt digambar Cat nya byk yg terkelupas",barang basah air bau kwalitas bagus spt gambar cat byk kelupas,negative
recommended seller..udah order yg ke 16 kali,recommended sellerudah order 16 kali,positive
barang belum diterima,barang terima,negative
"bru dipake 2x, udh robek sana sini. trus kek keluar karet2 warna kuning gituu.. ngga lagi deh ??",bru dipake 2x udh robek trus kek karet2 warna kuning gituu ngga deh,negative
penjual ramah n fast respon...,jual ramah fast respon,positive
"Barang sdh smp, udah gitu kurirnya ngaco...barang blm diterima direport udh diterima. Trs, gak dpt pc Blackpink nya. Bkn nya klo ada tulisan Bebas Ongkir Ekstra itu hrsnya dpt pc Blackpink ? Krn yg sblm2nya sy belanja di store lain, yg ada tulisan Bebas Ongkir Ekstra, pasti dpt pc Blackpink. Ini lupa atw bgmn ? jujur kecewa...",barang sdh smp udah gitu kurir ngacobarang blm terima direport udh terima trs dpt pc blackpink bkn klo tulis bebas ongkir ekstra hrsnya dpt pc blackpink krn sblm2nya sy belanja store tulis bebas ongkir ekstra dpt pc blackpink lupa atw bgmn jujur kecewa,negative
"packing nya rapi bngt.... pengiriman cepat, kurirnya jg ramah ... recommended ??",packing rapi bngt kirim cepat kurir jg ramah recommended,positive
"Barang gampang rusak,jarumnya lepas terlempar",barang gampang rusakjarumnya lepas lempar,negative
BAGUS BANGETT MAKASII DPT HADIAH DR TOKPEDDDDDTidak menerawang. Ukuran sesuai. Ringan dipakai. Warnanya bagus ??. Bahan menyerap keringat. Jahitannya rapi.,bagus bangett makasii dpt hadiah tokpedddddtidak terawang ukur sesuai ringan pakai warna bagus bahan serap keringat jahit rapi,positive
Kemasannya sangat bagus,kemas bagus,positive
KAPOK BELI DISINI,kapok beli,negative
"fix aku cinta sama ini produk bahannya solid, dan bekerja sesuai deskripsi. bakal beli lagi!!!",fix cinta produk bahan solid sesuai deskripsi beli,positive
Keren banget adminnya! Dibantuin dari awal sampai akhir hehe. Fast respon juga.Ini gamenya bisa semua yaa,keren banget adminnya dibantuin hehe fast respon jugaini gamenya yaa,positive
"Nyesel setengah mati beli ni produk, beli gara2 liat ulasannya kok positif semua.. sumpah ini krim baunya ga enak banget, kalo boleh digambarkan baunya itu perpaduan antara muntahan bayi dan minyak nyong2 om2, iya separah itu.. ini yg pada kasi ulasan idungnya pada mati rasa ato gmn ya ?????? .. pengiriman sih cepat dan bagus, but sorry, the product is a nightmare + very pricey.. tau gini gw ttp beli wak doyok yg wanginya jauh lbh enak dan jauh lbh murah.. this cream is really2 not recommended!",nyesel mati beli ni produk beli gara2 liat ulas positif sumpah krim bau enak banget gambar bau padu muntah bayi minyak nyong2 om2 iya parah kasi ulas idungnya mati ato gmn kirim cepat bagus but sorry the product is nightmare very pricey tau gin gw ttp beli wak doyok wangi lbh enak lbh murah this cream is really2 not recommended,negative
kenapa pesan ukuran XL dikasihnya S !!!,pesan ukur xl kasih,negative
pernah tanya kapan expd nya katanya 10/2023 ternyata exp 2022. kesel aja uda bela2in beli disini yg jauh lebih mahal dr toko lain demi dapet expd 2023,expd 102023 exp 2022 kesel uda bela2in beli mahal toko dapet expd 2023,negative
Kecewa barang pas sampai gak bisa dipakai,kecewa barang pas pakai,negative
"kecewa belinya asli, packing berantakan, kardus penyok, bawahnya udh kuning-kuning kaya bekas di pakai, kecewalah pokonya, tolonglah di bagusin..",kecewa beli asli packing beranta kardus penyok bawah udh kuningkuning kaya bekas pakai kecewa poko tolong bagusin,negative
"Saya membeli 20 item, dan yg saya terima hanya 10. sudah komplain tdk bisa karena memang saya video ulang dikarenakan video pertama tidak ke rekam.",beli 20 item terima 10 komplain tdk video ulang video rekam,negative
"Barang SAMPAH ini tidak seharusnya dikirimkan ke alamat saya, akan tetapi di TONG SAMPAH. Sangat MENGECEWAKAN, admin TIDAK MERESPON SAMA SEKALI CHAT SAYA. lihat barang yg dikirimkan, ada dead pixel, LALU LAYAR MONITORNYA KEBALIK. SANGAT MENGECEWAKAN. catatan buat teman-teman yg ingin beli, monitor ini tidak ada audio/speakernya, kualitas layar juga kurang baik. Jika ada rejeki lebih, belilah dengan merek yg bagus. SAYA SANGAT MENYESAL BELANJA DI SINI. SAYA TIDAK MEREKOMENDASIKAN BELANJA DISINI.",barang sampah kirim alamat tong sampah kecewa admin merespon chat lihat barang kirim dead pixel layar monitor balik kecewa catat temanteman beli monitor audiospeakernya kualitas layar rejeki bilah merek bagus sesal belanja rekomendasi belanja,negative
"Kecewa bgt, sudah packing nya kurang aman, expedisi juga asal-asalan. Produknya cacat, ada bekas baut nya udah dibuka padahal brg baru. Trus di body nya ada bekas lecet dan tombol power nya patah pula lagi????????",kecewa bgt packing aman expedisi asalasalan produk cacat bekas baut udah buka brg trus body bekas lecet tombol power patah,negative
sesuai pesanan mantap,sesuai pesan mantap,positive
"barangnya bgus cman saya kurang puas dgn pakingya, gak rapi sama sekali,. sticknyapun cpot, . . tolong perbaiki lagi byar tokonya laris, .",barang bgus cman puas pakingya rapi sticknyapun cpot baik byar toko laris,negative
BELANJA BERTURUT TURUT 2HR.. SELLER TIDAK RAMAH.. TRAKHIR KALI BLANJA DI SINI.. NOT RECOMMENT,belanja 2hr seller ramah trakhir kali blanja not recomment,negative
masker tertipis yang pernah saya beli,masker tip beli,negative
"mantap sesuai pesanan, bakonya bener� mentol????respon cepat ,,, pengiriman cepat??????",mantap sesuai pesan bako bener mentolrespon cepat kirim cepat,positive
"Tolong di cek lagi untuk baterainya gan, Baterai bekas dikasih pantes gak mau hidup suaranya",cek baterai gan baterai bekas kasih pantes hidup suara,negative
"Cepet nyampe, seller oke",cepet nyampe seller oke,positive
ga berfungsi dengan baik,fungsi,negative
"respon cepat, sayang lensa macro nya ada baret, masih dimaklumi lah karena murah, tp berharap kualitas barang bisa lebih baik",respon cepat sayang lensa macro baret maklum murah tp harap kualitas barang,negative
"gak nyesel beli di sini sudah harga terjangkau, kualitas bagus, rekomendit banget deh pokok nya buat beli disini dan juga lengkap lagi. happy belanja di sini.",nyesel beli harga jangkau kualitas bagus rekomendit banget deh pokok beli lengkap happy belanja,positive
mesen 4 yg datang hnya 3 saja yg satu bosnya kosong ngk ada isinya,mesen hnya bos kosong ngk isi,negative
Selalu terdepan. Response sangat cepat. Barang dikirim sangat cepat. Sukses selalu.,depan response cepat barang kirim cepat sukses,positive
"produk saya terima dengan kondisi baik, terima kasih ^^",produk terima kondisi terima kasih,positive
"Produk tidak ORI (KW),tidak bekerja dengan baik.dikirim 2 PGP tidak bekerja di 2 hp saya Lenovo n Advan.Cuma jadi bangkai.After sales buruk,Respon seller kurang.no recommended.",produk ori kwtidak baikdikirim pgp hp lenovo advancuma bangkaiafter sales burukrespon seller kurangno recommended,negative
Pelayanannya sangat buruk,layan buruk,negative
bagus dan tahan lama banget,bagus tahan banget,positive
"relapict sekali,,,suka pokoknya??",relapict sekalisuka pokok,positive
"Packing terlalu padet, liquid bocor banyak",packing padet liquid bocor,negative
Saat diterima kotak sudah kebuka. Ada 1 botol yang gak ada tutupnya,terima kotak buka botol tutup,negative
Lama pengiriman.. atc di hari itu juga tpi gak di kirim2. Beberpa hr dlu br di kirim.,kirim atc tpi kirim2 beberpa hr dlu br kirim,negative
"Barang yang sampai cacat, tidak ngisi baterai stick nya",barang cacat ngisi baterai stick,negative
"bagus bgt, sesuai gambar, pngiriman jg cpt",bagus bgt sesuai gambar pngiriman jg cpt,positive
"pesanan sesuai deskripsi,pengiriman cepat",pesan sesuai deskripsipengiriman cepat,positive
"produk nya bagus, sesuai deskripsi ????",produk bagus sesuai deskripsi,positive
"tidak sesuai pesanan, pesan warna merah putih yg dikirim, warna lain",sesuai pesan pesan warna merah putih kirim warna,negative
"Klaim produk order ditanggapi dg cepat, dan diganti sesuai dg kualitas yg baik.",klaim produk order tanggap dg cepat ganti sesuai dg kualitas,positive
Pengiriman sangat lama,kirim,negative
pengiriman lamaaaaaaaaaaa banget hampir seminggu,kirim lamaaaaaaaaaaa banget minggu,negative
"Enak lumpia basah nya dan admin baik minta daun bawang lebihan eh beneran di kasi banyak ?? Terimakasih, nanti mau beli lagi ??????????",enak lumpia basah admin daun bawang lebih eh beneran kasi terimakasih beli,positive
jelekkkk,jelekkkk,negative
packing nya jelek. casing nya penyok�...kualitas jg kurang...bbrp tidak pas ditempat nya,packing jelek casing penyok kualitas jg kurangbbrp pas tempat,negative
"packaging aman banget, proses cepet. thankyou",packaging aman banget proses cepet thankyou,positive
"Respone sellernya sangat cepat..Tapi....ga bisa dipasang di hp saya, dideskripsi 7 inch bisa eh ternyata pas dateng di pasang di hp samsung a70 ga muat, dan pas baca dalemnya maks ktnya 6,2 inch. Sama buat maen CoD rada ngadat, pas maen ML lancar jaya.... Padahal pengen maen CoD nya :)",respone sellernya cepattapiga pasang hp deskripsi inch eh pas dateng pasang hp samsung a70 muat pas baca dalem maks ktnya 62 inch maen cod rada ngadat pas maen ml lancar jaya ken maen cod,negative
"Yang datang bukan yang keluaran terbaru yang ada butiran berwarna biru didalam gel hand sanitizer-nya, sedikit kecewa walau manfaatnya sama, hanya saja yang keluaran terbaru terlihat lebih menarik karena ada butiran berwarna birunya, padahal di foto produk sudah ada butiran birunya. Kecewa banget, mau mesan lagi takut yg datang sama aja barangnya dengan yang ada. Sedih.",keluar baru butir warna biru dalam gel hand sanitizernya kecewa manfaat keluar baru tarik butir warna biru foto produk butir biru kecewa banget mesan takut barang sedih,negative
"Bahan plastiknya bagus banget, emang the best quality dah Polypropylene?? terus warnanya lucuuu??",bahan plastik bagus banget emang the best quality dah polypropylene warna lucuuu,positive
Kualitas Produk Bagus. Produk Sesuai,kualitas produk bagus produk sesuai,positive
ternyata tipis bahannya,tipis bahan,negative
puasssssssssssssssssssssssss ...,puasssssssssssssssssssssssss,positive
Yg beli wiskas junior bau bangke.. kucing gk pd doyan,beli wiskas junior bau bangke kucing gk pd doyan,negative
bahan nya bagus banget,bahan bagus banget,positive
"pelayanan buruk sekali, pengiriman barang buruk sekali dan lama banget sampainya. kapok beli disini lagi gak lagi-lagi",layan buruk kirim barang buruk banget sampai kapok beli lagilagi,negative
"kunci bagian depan kendur alias tidak kencang, dan respon seller sangat tidak memuaskan...",kunci kendur alias kencang respon seller muas,negative
Selama Saya berbelanja di Tokopedia. ini adalah pesanan dengan layanan tercepat yang saya terima. biasanya estimasi waktu pengiriman ke darah saya 5 hari. tapi Paket Business is FUN hanya 2 hari. the best.,belanja tokopedia pesan layan cepat terima estimasi kirim darah paket business is fun the best,positive
"Barang sangat berkualitas sebanding dg harga, kelengkapan banyak, sudah dapat tas, panduan yg jelas dan buku moderator tebal. Box kartu juga tebal. Mantappl",barang kualitas banding dg harga lengkap tas pandu buku moderator tebal box kartu tebal mantappl,positive
"Bahannya berbeda dengan yg dulu. Dulu dalam putih sekarang tidak. Jadi panas, kasar, dan gatal. Gamau beli lg disini nyesel kualitas dah turun beda jauh.",bahan beda putih panas kasar gatal gamau beli lg nyesel kualitas dah turun beda,negative
udh top banget lah beli disini juara ke oriannya ... selalu langganan pokonya..,udh top banget beli juara oriannya langgan poko,positive
"barang sampai dengan baik, produk cukup bagus, suara tidak melengking, radio cukup jernih, semoga bermanfaat.",barang produk bagus suara lengking radio jernih moga manfaat,positive
Coverage-nya full � Proses pesanan cepat Packaging aman ?? Awet buat seharian ??,coveragenya full proses pesan cepat packaging aman awet hari,positive
Penjual tidak komunikatif...,jual komunikatif,negative
"cakep banget. tp salah pilih size mash kegedean di anak, tp anak super happy. thanks",cakep banget tp salah pilih size mash gede anak tp anak super happy thanks,positive
produk mantapp????,produk mantapp,positive
"barang aman diterima, yg paling seneng wanginya enak banget ??",barang aman terima neng wangi enak banget,positive
warna gak sesuai..bukan hijau muda,warna sesuaibukan hijau muda,negative
mic tdk berfungsi dgn baik / rusak gak bunyi,mic tdk fungsi rusak bunyi,negative
"seller sombong, shok, ngirim lambatttt percuma pake same day, bangunnya siang kali",seller sombong shok ngirim lambatttt pake same day bangun siang kali,negative
"Build quality cakep,,stik normal smua,,pengiriman gak sampai 24jam,,??????recomended bgt",build quality cakepstik normal smuapengiriman 24jamrecomended bgt,positive
Kendaraan menjadi kinclong kembali! Mantap!. Kendaraan menjadi kinclong kembali! Mantap!. Senang banget ada home servicenya!. Senang banget bisa di pasangin di bengkelnya.,kendara kinclong mantap kendara kinclong mantap senang banget home servicenya senang banget pasangin bengkel,positive
gua rekomendasi jgn beli disini. Toko ndak amanah sama skali. beli bola keliru ngasih tikar. ok saya maklumi. Lalu saya kembalikan barangnya. dan saya minta kirim ulang. Customer ndak difollow up sama skali. sampek skarang uda stngh bulan belum dikirim.,gua rekomendasi jgn beli toko ndak amanah skali beli bola keliru ngasih tikar maklum kembali barang kirim ulang customer ndak difollow up skali sampek skarang uda stngh kirim,negative
"Suka bahannya, modelnya, harganya pun terjangkau.",suka bahan model harga jangkau,positive
Barang sesuai dengan pesanan. Kotak maskernya lucu. Terima kasih,barang sesuai pesan kotak masker lucu terima kasih,positive
pia nya gak dikirim,pia kirim,negative
pengiriman lama sekali,kirim,negative
"mantap proses pengemasan dan pengirimannya cepat, produknya juga nyaman bahannya...",mantap proses emas kirim cepat produk nyaman bahan,positive
Bahannya adem. Warnanya cantik ??. Ukuran sesuai. terimakasih,bahan adem warna cantik ukur sesuai terimakasih,positive
Kualitas Suara OK banget apalagi dengan harga yang terjangkau Barang pun dijamin ori karena sudah terdaftar di Website Razer langsung Pokoknya bagus lah bassnya juga kerasa,kualitas suara banget harga jangkau barang jamin ori daftar website razer langsung pokok bagus bassnya rasa,positive
"Ini pembelian saya yang kedua kali, pada saat saya terima kondisi segel sudah terbuka dan kartu garansi beda dengan 2 unit yang saya sebelumnya meskipun garansi resmi Indonesia dan unit IP Cameranya berbahasa Indonesia serta kondisi unit bisa dinyalakan. Saran saja sebelum barang dikirim disampaikan saja kondisinya supaya lebih transparan.",beli kali terima kondisi segel buka kartu garansi beda unit garansi resmi indonesia unit ip cameranya bahasa indonesia kondisi unit nyala saran barang kirim kondisi transparan,positive
tidak dikrm2 eksp dan toko gak bertanggung jawab.,dikrm2 eksp toko tanggung,negative
"Barang kurang mulus.. beli dua, dua duanya ada sobekan di bantal bagian belakang..",barang mulus beli dua sobek bantal,negative
Barang tidak sesuai pesanan ... Mohon pendataan barang lebih cermat lagi,barang sesuai pesan mohon data barang cermat,negative
pakingnya kurang aman. di pakein dus tipis doang. pdahal elektronik dg barang riskan pecah kalo di tumpuk brng lain,paking aman pakein dus tipis doang pdahal elektronik dg barang riskan pecah tumpuk brng,negative
kecewa,kecewa,negative
barang yang dikirim tidak sesuai walaupun tidak ada seharusnya 2 warna jangan satu warna,barang kirim sesuai warna warna,negative
Pengiriman lama sekali. Respon penjual jg lambat,kirim respon jual jg lambat,negative
Barang yang dikirimkan sesuai dan harga terjangkau,barang kirim sesuai harga jangkau,positive
"Barang tiba & sesuai pesanan, tinggal dipake masak deh.. Terima kasih ya..",barang sesuai pesan tinggal dipake masak deh terima kasih,positive
Baru sehari udh basi T_T,hari udh basi tt,negative
barang cet sampai thanks seller fast respon nya,barang cet thanks seller fast respon,positive
"coklat asli, hitam ga tau itu asli apa palsu ya..... yg hitam beli disini bahan kaku, embos ga ada di dalam, saku untuk uang hanya ada 1 tdk 2 seperti yg coklat..... pokoknya beda banget sama yg coklat yg bahannya lebih halus lentur dan jahitan lebih rapih....",coklat asli hitam tau asli palsu hitam beli bahan kaku embos saku uang tdk coklat pokok beda banget coklat bahan halus lentur jahit rapih,negative
"Adminnya lambat. Barang juga tidak sampai di tangan saya setelah menunggu hampir 3 minggu. Padahal saya ada transaksi dari beberapa toko di hari yang sama dan semuanya sudah sampai maksimal 3 hari setelah saya pesan.Dari pihak kurir katanya udah sampai dan diterima keluarga dekat, padahal nama penerimanya aja ga kenal.Terus komplain ke toped, baru direspon setelah hampir 2 mggu dan akhirnya diputuskan dari pihak toped untuk direfund.",adminnya lambat barang tangan tunggu minggu transaksi toko maksimal sandar kurir udah terima keluarga nama terima kenalterus komplain toped direspon mggu putus toped direfund,negative
"Pengiriman sesuai estimasi. Kemasan paket bagus n rapi. Tas gadget ditrima dlm kondisi baik, tidak ada yg rusak. Kualitas produk bagus. Bentuk, warna n ukuran sesuai deskripsi.",kirim sesuai estimasi kemas paket bagus rapi tas gadget ditrima dlm kondisi rusak kualitas produk bagus bentuk warna ukur sesuai deskripsi,positive
jangan lupa gaes diorder toko ini,lupa gaes order toko,positive
"alhamdulillah bisa dpt traktiran dari tokopedia semoga kemudian hari walaupun ngasih gratisan harus sesuai ukuran juga, tapi gak papa makasih buat seller yg udah rela ngasih gratis.bisa kepakek utk di rumah aja Warnanya cantik ??. Tidak menerawang.",alhamdulillah dpt traktir tokopedia moga ngasih gratis sesuai ukur papa makasih seller udah rela ngasih gratisbisa kepakek utk rumah warna cantik terawang,positive
Dapat sama seperti foto pembeli lain. Serumnya dipakai dingin tidak panas.,foto beli serum pakai dingin panas,positive
"barang original, pengiriman sesuai estimasi, sukses terus gan",barang original kirim sesuai estimasi sukses gan,positive
"Belum ada 2 hari di kulkas, tapi udah BASI. hiks.",kulkas udah basi hiks,negative
"Barang ga sampai gara gara sicepat ngilangin barangnya, dan dana pengembalian belom masuk juga admin membantu tapi pas komplain selesai dan dananya ga masuk, ga dibales lagi chatnya",barang gara gara sicepat ngilangin barang dana kembali bom masuk admin bantu pas komplain selesai dana masuk dibales chatnya,negative
Nyaman banget dipakai. Kualitas bahan bagus. Tetap bisa gerak maksimal.,nyaman banget pakai kualitas bahan bagus gerak maksimal,positive
"Bahan dan konstruksinya tidak kuat, mudah patah.",bahan konstruksi kuat mudah patah,negative
barangnya jelek cepet rusak baru pake sehari talinya sudah mau lepas,barang jelek cepet rusak pake hari tali lepas,negative
Produk sesuai deskripsi penjual. Penjual komunikatif dan cekatan. Semoga tidak ada kendala saat pemakaian. Thanks seller!,produk sesuai deskripsi jual jual komunikatif cekat moga kendala pakai thanks seller,positive
semoga bisa ditingkatkan lagi QCnya. packing baik dengan bubblewrap jadi tidak mungkin patah dari pengiriman. sayang saya tidak ada video unboxing karena sebelumnya pernah beli dan sangat aman. mungkin saat jepit waktu packing posisinya tidak pas jadi ujungnya gompal.,moga tingkat qcnya packing bubblewrap patah kirim sayang video unboxing beli aman jepit packing posisi pas ujung gompal,negative
"Barangnya ternyata berkualitas walaupun harganya cukup miring - warnanya pun bagus, gak kelihatan kayak barang murah - puassss",barang kualitas harga miring warna bagus kayak barang murah puassss,positive
