content,label
"pengiriman cepat, barang sesuai",Positive
"sangat amat buruk, mereka yg blg exp nya 2023 tapi yang datang malah 2022 bulan 4, sekelas Unilever begini toh ternyata. mereka suruh refund kalau barangnya udh sampe baru ongkir nya di ganti, apakah kalian bisa ganti waktu yg kebuang untuk nunggu paket itu? packingnya lagi, anter nya lagi, g kerjaan. ya semoga Unilever yg amat besar ini sadar diri akan kesalahan nya dan kelalaiannya. dan tolong jangan menyusahkan pembeli, saya beli bukan gratisan ??",Negative
"packing rapi, pengiriman cepat. seller responsif. produk bagus dan ori. recommended lah pokoknya",Positive
"Pengiriman lambat, pas dateng barang juga sudah sobek, debuan. ??????????????",Negative
Udah yang ketiga kali buat disini best banget asli cepat gak ada obattt!!!!???????????????????,Positive
Product tidak bisa spray sudah di kocok berkali-kali ..tidak bisa dipakai.tidak recomended..kecewa,Negative
barang sesuai deskripsi,Positive
Kesekian kali beli disini mantap,Positive
"sial.. gak ada wangi wangi nya sama sekali, gak ada sama sekali biji kopinya, GAK SESUAI JUDUL 100% BIJI KOPI. kecewa banget pantesan murah kita cuma dikasih sampah. penipu..",Negative
"pengiriman oke, produk datang dalam kondisi baik, jumlah benar tetapi warna salah :( gapapa makasih yaa",Positive
"harga, kualitas, barang sesuai... terima kasih seller, sukses tokopedia...",Positive
Barang tidak sesuai gambar yang ditawarkan,Negative
"Respon seller bagus tapi produknya tidak, suaranya kecil masih kalah dengan mic hp internal. Harga sangat tidak sesuai dengan kualitas",Negative
"kualitas barang cukup bagus, sudah sering belanja di toko ini, kemasan sederhana",Positive
mantappppppppppppppppppppppppppppppppp,Positive
Lampunya terang!. Pancaran cahaya lampu yg baik. Produk original ??.,Positive
"Mengecewakan sih, seller kurang friendly",Negative
"Admin toko ini tdk punya sopan santun, bukannya cari solusi msalah, ini malah emosional dan hina pembeli. , gk pnya etika dan gk sekolah x, ,",Negative
"Barangnya bagus bangett, dengan harga yang affordable dengan kualitas yang lumayan gokil sihh",Positive
"Trm ksh brgnya sdh smp, pengiriman cepat kmrn pesan hari ini sampai, double bubblewrap, penjual responsif dlm QA, kurir oke lah via COD.",Positive
"Ga jelas ga ada instruksinya, rakitnya ginana... sepertinya juga barangnya beda sama yg saya pesan.",Negative
"mantap bgt.....aroma rasa bkn sekedar isu...mantul dn mempesona,rasa pas di lidah dn irit d kantong,makasih gan.",Positive
barang tidak sesuai yg di pesan. warna pudar .kancing yg di pesan 3 yg di kirim model 2 kancing,Negative
"lembut banget, bagus, pegannya juga nyaman. bobotnya sedang ngga berat juga ngga yg ringan2 banget",Positive
Kecewa beli di sini...order gunting tp tidak di kirim.kata ya kalau order untuk ke 2 kali ya bakal dikirim nyala nya zonkkkkkkk,Negative
"sukaaaa...makanya beli lagi..total udh punya 6 pcs. suami bilang model dan bahan bagus, nyaman dipakai. warnanya oke2. respon penjual mengirimkan barang super cepat.",Positive
Ringan dipakai. Ukuran sesuai. Bahan menyerap. menerawang sih in mah . sesuai harga lah,Positive
service mengecewakan... sekali kecewa pasti saya kasi bintang 1 terus,Negative
emang rasanya kaya basi apa gimana ?? kok gini amat kaya bau tong sampah,Negative
penjual bisa menjaga kualitas barang dan pengirimannya yang cepat. ini kali kedua pesen disini. terimakasih ya,Positive
pesen 2 kok yg dateng cuma 1?tolong di cek ulang donk...,Negative
"Mantab, produk sesuai deskripsi, material produk krg rapi, packing aman dan pengiriman cepat, thx seller",Positive
"Kurang cocok utk bayi kulit sensitif. Bbrp kali pakai, kulit bayi jd beruntusan.",Negative
barang cepat sampe. penjual fast respond. cuma dpt produk yg covernya agak lecek.,Positive
Yg dipesan 5macam yg datang doraemon semua,Negative
"barang sudah diterima sesuai dgn deskripsinya, terimakasih",Positive
MANTAB. RESPON CEPAT. PESANAN TIDAK MENGECEWAKAN. REKOMENDED BUAT BELANJA SPARE PART. TERIMA KASIH ATAS KERJA SAMANYA,Positive
Desain ergonomis. Gampang dipakai,Positive
"Dari 4 pesanan yg bs dipake cuma 2, itupun tidak sempurna, kemungkinn pecah di pengiriman karena paking tidak aman/seadanya..",Negative
nggak fungsi..pisaunya ditusuk semua ke dalam tong tapi kepalanya tetap stay,Negative
auto langganan ????,Positive
"kameranya jelek banget, di deskripsi katanya bisa walkie talkie ternyata ga bs, response penjual sangat lambat, ga dapet sim card malah di ganti kaos kaki",Negative
Sangat kecewa dengan pengiriman yang sangat lama dan sangat sangat bermasalah di ekspedisi pengiriman s*c**at dan penjual tidak fast response.,Negative
5 jempol buat reseller dan produk nya ??????????,Positive
proses cepat.. celana lumayan bagus... makasih selleer,Positive
baru di pake sekali udah robek sol nya,Negative
"Yang kids bener, yg besar beda bahan dan sangat tipis. padahal yg besar pesan yg ada katupnya tapi ini kagak.",Negative
"Ini expiry date nya 2020? kok dijual. sayangnya aku ga ambil video unboxing nya. Soalnya yaa.. ga nyangka aja gitu. Judul tokonya official' store.. dan waktu check barcode, ga ada dong, ga keluar itemnya, beda dg produk satu lagi yg ke beli berbarengan.",Negative
"pengiriman sangat teramat lama sampai, sangat mengecewakan",Negative
"tidak sesuai pesanan, pesan warna merah putih yg dikirim, warna lain",Negative
salah satu stik tidak berfungsi. coba chat penjual tidak direspon.,Negative
klo mau kirim barang sebaiknya di cek dulu gan saya beli 2 yg satu mati untuk saya harga segitu lumayan,Negative
hanya dikirim tutupnya saja,Negative
kardus bekas pk bayar..,Negative
penjual sama sekali tdk memperhatikan catatan pembeli..malahan menyalahkan pembeli.,Negative
Tidak sesuai dengan apa yang dibayangkan,Negative
Alat tidak berfungsi,Negative
saya tidak menerima produk sama sekali dari kurir dan kurir tidak menelfon saya kalo barang sudah diantarkan dan dititipkan di siapa karena saya belum menerima paket saya saya mengajukan komplain,Negative
Gak ada instruksinya.. bingung jadinya,Negative
"Pengiriman cepat, packing aman.Produk disukai enak dan melengkapi asupan nutrisi yang diperlukan untuk pertumbuhan dan menjaga kesehatan.",Positive
Langsung sobek pas pertama kali di pake,Negative
barang tidak sesuai gambar. payah,Negative
"Nyaman dipakai ??. enak sih dipakai, kantong belakang ngebantu banget buat nyimpen hape.",Positive
cepat rusak,Negative
"Cukup sy yg di rugikan , krn brg yg dtg sy tdk vidio in , orderan sy ada 3 Yg dtg cuma 2, tp gift dpt 3 Brg uda mahal , di komplen pun gak bs",Negative
"pengiriman cepat, packing rapih, buku masih tersegel dengan aman. terimakasih banyak.",Positive
"salah satu kakinya ada yg bengkok, jadi gabisa dipake, udah minta refund tetep gabisa yasudahlah",Negative
speaker dan mic nya ga bunyi,Negative
"mantab spidolnya , jadi ngak hilang tulisan walau tulisannya di masukkan kulkas (plastik ASI)",Positive
sesuai pesanan. kualitas ??,Positive
"produk ok ,sesuai pesanan,sudah langganan, pengiriman cepat, makasih store",Positive
Barangnya original. Mutu terjamin SNI. Gampang dipakai. Hemat listrik. Modelnya keren. Hemat listrik,Positive
"Pemrosesan serta pengiriman produk cepat, padahal bukan di daerah JABODETABEK. Produk diterima dengan sempurna, 3 buah micro USB Data Cable kualitas premium, dan ada bonus kartu perdana Smartfren. Trims",Positive
"raknya letoy bgt. kalo naro sepatu lebih dari 6 pasang takut roboh. kirain kuat, ternyata letoy bgt",Negative
"Barang tdk sesuai yg sy pesan,otomatis tdk bisa dipakai",Negative
alhamdulilah jilbabnya bagus nggak nerawang dapat diskon juga dari tokped makasii seller,Positive
"Kecewa! beli terpal sesuai rekomendasi penjual. Terpal bocor, lem tidak rata. Chat ke penjual after sale tidak digubris. Parah Sih!",Negative
"No Recomend, order yg mana di kirim mana....mengecewakan",Negative
saya nanya baik ga niat komplain jg tp dijawabnya kok gini bgt sangat ga ramah sombong sekali,Negative
mendarat dgn selamat dan ikannya bagus,Positive
"Kertas nya jelek , tinta cetakan ada yang hampir tidak jelas di baca",Negative
Ukuran sesuai. Bahannya berkualitas. Nyaman dipakai si kecil. Modelnya keren ??.,Positive
Packaging rapi. Proses pesanan cepat. Packaging aman ??. Gampang dibawa-bawa.,Positive
barangnya cukup bagus,Positive
"pengiriman lama banget, dough nya juga jelek banget ga lentur, ga seperti biasanya",Negative
secara overall ok banget,Positive
rasanya agak asem mungkin terlalu banyak tomat,Negative
"Pinggiran buku sobek, mungkin karna packagingnya",Negative
"puas ama pelayanannya, ngeladenin pertanyaan2 ama request an di penuhi smua ama pihak hotelnya, best view pula ngadep ke zen deck nya",Positive
kecewa sama tokonya,Negative
auhh bgt sma yg d gambar mentang2 pngguna baru dpt grtisan eh dpt nya daster 10rban d loak...????lucu tokped apa toko nya nih gak mau rugi...gak smpet foto sya ksihkan sma nenek sya.ampunn dah..,Negative
"warnanya beda dgn gambar, Tidak menerawang. Bahannya adem. Nyaman dipakai.",Positive
bahan terlalu tipis,Negative
"Ga sesuai expetasi, lebih mirip singlet drpd tanktop, beli putih 2, hitam 2 yg dikirim hitam semua pdhal sblm order sdh tanya saat cekout jg yg dipilih hitam, putih, packing rapi , pengiriman agak lama , penjual responsif",Negative
"bahan Oke,packing Rapi dan cepat sampai",Positive
"barang berfungsi dengan baik, rekomended",Positive
lambat,Negative
"paking rapih, kondisi barang datang mantap. kualitas sesuai harga.. joss",Positive
Barang aman cuman pengiriman lama,Positive
Packaging aman dan bagus. Barang sesuai deskripsi.,Positive
"Masya Allah, saya kira bahan nya kaku ternya nya bahannya lembut dan nyaman di pake sama suami, bisa2 langganan nih ,pelayanan nya juga memuaskan pokonya ????",Positive
Barang pecah..,Negative
ga dikirim payah,Negative
"barang tidak lengkap, sudah coba kirim video unboxing tapi ga bisa2 masuk.sudah minta nomer WA dan email, agar bisa kirim videonya tapi tidak direspon.dan sudah balas email ke tokopedia juga, tapi tidak di balas. percuma barang nya juga tidak bisa di pakai karena tidak lengkap(padahal di gambar tertera free)",Negative
makasih gun barang nya udh sampai sesuai pesanan..,Positive
"pesenan sy g di respon, giliran sy cancel langsung di respon dan di kirim. dan juga bicaranya ngajak ribut... kapok sy belanja sprti ini... jika msh ada toko ky gini lagi berhenti sy pake aplikasi tokped",Negative
"mantap sekali broooo, penjual ramah, sabar dan jika ada masalah pasti ditangani. ARIGATOOO??",Positive
komplain krn jam di setting masi tidak menyala jawaban dr admin hanya ok,Negative
Warnanya lucu ??. Lembut di kulit. Proses pesanan cepat.,Positive
Polanya kurang pas. Negativean pas tapi lengan terlalu kecil.,Negative
"cakep.. beneran pas buat anak aq sesuai umur, next order lagee",Positive
"Barang yg diterima dalam kondisi baik, pengirimannya lebih lama dari estimasi awal tp overall ok karena seller bantu informasikan kenapanya.. Thank you!",Positive
Mantap Tajam. Kualitas Produk Bagus. Produk Sesuai.,Positive
bagus simple cuma menurut saya kurang keras suaranya... tapi bagus ??,Positive
barang yang dikirim tidak sesuai walaupun tidak ada seharusnya 2 warna jangan satu warna,Negative
barang selalu ok sdh repeat order bbrp kali selalu ok,Positive
Perlu hampir 2 minggu buat packing dengan alasan overload... 2 MINGGU LOH 2 MINGGUUUUU,Negative
"Kualitas sangat bagus sekali, sama seperti di foto. Pengiriman juga sangat cepat. Mantap lah pokoknya..",Positive
"buku sampai 2 hari setelah pemesanan, lumayan cepat pengirimannya. buku tiba dengan bubble wrap dan dalamnya masih dikemas dengan kardus lagi. overall bagus",Positive
"Beberapa hari yg lalu saya pesan 4 pcs bolt salmon tapi hanya dikirim 1 bolt salmon dan 3 nya tuna. Harga beda 600 rupiahan sih tp bukan masalah beda 600 rupiahnya cuma lebih ke kewajiban memberikan barang sesuai dgn yg dibeli konsumen aja biar konsumen ga rugi. Janji bakal dikirim salmon dipesanan kali ini tp tetep dikirim tuna, klo barang kosong seharusnya konfirmasi bukan asal kirim aja. ok makasih deh ka.. Semoga konsumen lain ga mengalami seperti ini.",Negative
"bocor!! paket basah, jd tinggal bublrwrap terikat isolasi aja plus liquid. rasa nya mau gak mau tidak enak. untuk yang lainnya (botol kaca) aman",Negative
tipis banget Dan transparan,Negative
"warna tidak sesuai dengan keinginan, padahal sdh dichat",Negative
Menurut saya barangnha kurang bagus. Sorry banget ya biasa belanja disini barangnya bagus bngt tp untuk ini kurang. Celana ini sering banget aku pake karena enak dan nyaman dan seminggu aku cuci 1x tapi bahannya jadi jelek. Gampang robek dan jadi kayak digambar ini,Negative
alatnya eror,Negative
"gak pernah saya kasih bintang 1 ke toko manapun, tapi untuk x ini saya kecewa Barang saya yg minyak kayu putih gak di kirim. semoga berkah ka walau cuma uang sgitu dan gak lagi2 belanja di toko yg GAK AMANAH ini",Negative
Menggunakan bahan alami. Nggak memicu alergi. Tanpa bahan pengawet.,Positive
"barang rapih, diproses cepat..",Positive
"Mesan hijau dikasih abu abu, ukuran sama, apa gak baca pesanannya? Kalau memang gaada ya dijelaskan saja kn lebih enak?",Negative
mending ke toko lain..,Negative
barang yg dikirim tidak sesuai pesanan (salah warna) harap bisa lebih teliti lg dan merespon komplain dgn lebih tanggap.,Negative
"barang baru datang pertma saya coba di samsung A52 bisa terbaca,baru saya pasang di cctv ternyta ga bisa.penasran saya coba di samsung m30 juga ga bisa,pensran lagi saya coba di oppo A15 ternyta ga bisa juga.masih pensran saya coba lagi disamsung A52 ternyta dh ga bisa.Seumur umur baru ini saya kasih bintang 1,klaim garansi ternyta ribet juga.kapok saya belnja di apliksi ini maupun toko ini,masih enkn tko seblah.komplain kepenjual disurh komplain ke toped,komplain toped disurh komplain dulu gimna baiknuy sama penjual.hadeh..pok kapok saya..",Negative
"barang bagus sesuai harga, fast respon",Positive
"pelayanan nya TOP , after sales service bagus ????????",Positive
"Saran, dikasih logo/tulisan 1more di silikon nya, terus untuk indikator charge dikasih lubang biar keliatan jelas ngecas/ngga. Overall puas sama barangnya.",Positive
Gak bisa dipake bunyi kemeresek,Negative
"Barang okelah standard, yg bikin males tokonya slow respooonn.. padahal sering online. Chat gak dibalas. 2-3 hr baru dikirim.",Negative
pengait senter patahh sangt kecewaa,Negative
"Alhamdulilah, oderanku yang kedua nih tiba dengan selamat. Terima kasih banyak Semoga tetap menjadi penjual yang jujur dan amanah Aamiin Yaa Rabb",Positive
tokonya terbaik sii ini mah... udh 4x order disini setiap anak ultah selalu pesen printilannya disini.. skg anak ke 2 ultah pun belinya disini. mantap,Positive
Awalnya salah kirim judul dulu jadi lama bolak-balikin yang salah kirim dulu. Semoga kedepannya ga kejadian lagi ya ke customer lain,Negative
"Baguuuus, sisirnya halus banget.. Udah aku coba pake ke anak2 bulu aku ??",Positive
repeat order terus,Positive
Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive
sangat mengecewakan barang dikirim tidak sesuai dengan deskripsi permintaan pembeli,Negative
"Untuk kain jarik batik agak kecewa sih.saya pesen yang warna tapi dikasih yang klasik ... Bahan agak kasar , dan tidak panjang kainnya . Memang sih sesuai harga !!! Tapi yasudah gpp . Thanks",Negative
"Saya pesan 18kg yg bentuk ikan, dikirim yg donat, kucing pada mencret",Negative
"pengiriman lelet, request warna g di ACC, sangat kecewa...",Negative
"Gokil! Harga murah, kualitas oke punya",Positive
"beli brg sale, pengiriman via grabsend tapiii dimintain biaya parkir sm driver nya ANEH BGT!!!!!!",Negative
"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Negative
"barangnya mantabs bingit,,,tokonya recommended banget,,,",Positive
Bahannya tebal. Warnanya cantik ??. Tidak licin. Ukuran sesuai. Modelnya Simple ??. Bahannya adem,Positive
"bisa muat sampai ukuran kaki no 42. suami saya suka, ga tebel ga tipis, nyaman, lembut, Positive",Positive
"SELLER TDK BERTANGGUNG JWB. Kindlenya baru dibeli terus rusak. Pembelian 23 okt, 26 okt kindle nya rusak. Katanya ad garansi 7 hari, bgtu di message & whatsapp cuma di READ. Ga bertanggung jawab banget. Hati2 ya kalau mau beli disini after sale service nya sgt tidak bagus. Gabisa dipake deh kindle nya sayang banget, padahal uda capek2 nabung. Smoga dpt karma nya sndri deh :)",Negative
sdh sering belanja disini.. SMG terkumpul terus dah.. aamiin,Positive
sdah sampai.. brang normal sesuai deskripsi.. pengiriman cepat..,Positive
"Barangnya bagus, praktis dan harganya murah. Ga salah pilih produk dari Blueprint. Original merk. Respon penjual cepat dan ramah. Rrcommended",Positive
Barang bagus dan berfungsi dengan baik. Hasil pengepelan juga bersih. Pengiriman cepat.,Positive
ternyata kainnya kasar bgt..dan.tidak.menyerap.keringat.,Negative
"Cuakeeeep... maaf gapake poto.. barangnya oke, bahannya baguuusss??",Positive
order yang ketiga. gercep. barang oke. pelayanan juga oke,Positive
"sip, paket sampai dengan selamat, semoga berfungsi dengan baik. terima kasih seller fast responnya.",Positive
"Tidak diinfo dent dent ny. tidak memberikan kejelasan msalah battery. Cukup kecewa tpi mesin jalan dengan baik. Batt capacity tidak 100% .Beset kanan bawah, pesok bag monitor atas dan bawah.",Negative
bagus dan cepat,Positive
"Rasanya ngadi2 sumpah, kayak pake saos sambel ?? kyk gapake gochujang & gochugaru. Yang biasa makan kimchi asli korea pasti gaakan suka. Pengiriman super lelet pesen hr rabu br dtg hari minggu gils.",Negative
1 BATERE DATANG RUSAK KATANYA MAU DI TELP DARI MARKETING SETELAH TUNGGU 2 MINGGU TIDAK ADA KELANJUTAN,Negative
barang dikirim tidak sesuai jumlah pesanan,Negative
"barang nya sesuai deskripsi dan foto, bener2 bersih saat di coba, dpat bebas ongkir jga dan cpat smpai, terimakasih tokopedia dan seller",Positive
gampang penyok,Negative
Suaranya gk bs bersih. Ada noise. Hasilnya lebih bagus ngerekam pakai headset iphone drpd pakai ini.,Negative
Kualitas produk kurang memuaskan,Negative
"Barang sesuai pesanan, packing rapi, pas dicoba ok buat isi ulang dn charge, pengiriman sesuai estimasi..",Positive
"memorynya sdh ke buka wktu sya trima. tdk ada segelan, kondisi sdh agak busam. aku coba sdh 3 kali blm bisa dipakai",Negative
Nyaman dipakai. Bahannya kuat. Muat banyak barang. Potongannya rapi. Jahitannya rapi. Ukuran sesuai. Resletingnya lancar. Bahannya ringan. Modelnya keren ??.,Positive
"pesennya tosca, yg datang ungu, hehehe tp soal produk tdk diragukan lg, memuaskan Kualitas Product Bagus.",Positive
paan gada ngaruhnya samsek!!! kecabut aja kaga,Negative
Awalnya saya kira belum dibuka untuk diisi freemcboot...tyt sudah dibuka tinggal tes di mesin :) thx,Positive
sesuai deskripsi,Positive
"sayang banget tidak bisa ditukar,, resleting rusak,, Negative quality,, maaf saya kecewa..",Negative
Sayang banget dicuci pake mesin cuci langsung hancur??,Negative
kaleng penyok :(,Negative
"Barangnya original ??. Kemasan disegel. tapi kok gk ad buku garansi'y, sma anti gores, & sofkesWarna sesuai pesanan.",Positive
"Bakalan jd langganan .. harga terjangkau, pengiriman juga oke",Positive
"brg sampai, packing oke, cocok bt kado, ada bonus dompet koin??",Positive
Suara yang dihasilkan oke dan jelas. Tidak terdpat maslah. Mkasih,Positive
sesuai pesanan kualitas barang sesuai dengan harga terima kasih,Positive
"ga jelas, info bohong yang bikin pengalaman tidak menyenangkan, kalo mau beli produk dbe cari toko laen, yang ini tipu tipu, headphone dateng dengan keadaan bikin kuping sakit",Negative
"pengiriman cepat, berfungsi tapi harus dikaretin klo ngga longgar jadi ngga bisa di pake",Negative
"barang tidak sampai,kembalikan uang saya..!!!",Negative
"pengiriman sangat lama padahal didalam jabodetabek. begitu barang sampai ada satu yg cacat. kayak ada bagian belum selesai finishing, alhasil harus motong bagian yg berlebih terus di amplas. perekat 3M nya juga sulit dikelupas. Mohon kedepannya sebelum barang dikirim dicek dulu. Udh ada 2 barang yg cacat juga ini.",Negative
Saya pesen ini yg dateng cuma sukiyaki dan konbutsuyu padahal di deskripsi tertulis 3 jenis.. Kecewa bgt..,Negative
"Padahal order siang, tapi pesanan baru dikirim di hari esoknya bukan di hari yang sama. gak rekomended tokonya !!!",Negative
barang tidak bagus murahan,Negative
Barang nya kotor banyak bintik hitam dan bintik putih mungkin jamuran.,Negative
agak kecewa beli 13 pcs di ksh yg exp bln 4 2022 semua...,Negative
"mantabb selernya baik banget, penyabar sampe salah paham, tapi selernya tetep profesional dan baik hati..Positive seler Game nya seru!. kelengkapan sesuai. produk terbaru.",Positive
"Pengiriman cepat, barang aman..tidak bocor, seller fast respons",Positive
"Barangnya original ??. Produk berfungsi dengan baik. Suara yang dihasilkan jernih. Mudah digunakan. asli ga nyesel transaksi disini,agan seller mau jelasin sejelas2nya masalah produk dan variasi2nya,sampe cara penggunaan alatnya sehingga berfungsi semuanya...",Positive
bagus sekali pengiriman cepat,Positive
